marca,modelo,versao,preco_orcamento,ano,potencia_cv,lugares_grupo,cambio,categoria,ambiente_ideal
jac,E-j7,e-j7--2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-j7,e-j7-bev-2023,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-js1,e-js1--2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-js1,e-js1-ext-2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-js1,e-js1--2023,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-js1,e-js1-city-cargo-2023,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-js1,e-js1-extreme-2023,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-js1,e-js1-bev-2024,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-js1,e-js1-extreme-2024,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-js1,e-js1-bev-2025,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-js1,e-js1-city-cargo-2025,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-js1,e-js1-extreme-2025,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-js1,e-js1-bev-2026,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-js1,e-js1-city-cargo-2026,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-js1,e-js1-extreme-2026,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-js4,e-js4--2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-js4,e-js4--2023,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-jv5.5,e-jv5-5-bev-2023,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-jv5.5,e-jv5-5-bev-2025,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-jv7l,e-jv7l-bev-2023,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-jv7l,e-jv7l-bev-2024,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,E-jv7l,e-jv7l-bev-2025,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,Hunter,hunter-hd-2-0-at-2024,0.0,0.0,191.0,5.0,Auto,Indefinido,Urbano
jac,Hunter,hunter-4work-2-0-at-2025,0.0,0.0,191.0,5.0,Auto,Indefinido,Urbano
jac,Hunter,hunter-hd-2-0-at-2025,0.0,0.0,191.0,5.0,Auto,Indefinido,Urbano
jac,Hunter,hunter-hd-2-0-at-2026,0.0,0.0,191.0,5.0,Auto,Indefinido,Urbano
jac,Hunter,hunter-hdx-2-0-at-2026,0.0,0.0,191.0,5.0,Auto,Indefinido,Urbano
jac,Iev20,iev20--2020,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,Iev20,iev20--2021,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,Iev20,iev20--2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,Iev330p,iev330p-cd-2020,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,Iev330p,iev330p-cd-2021,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,Iev330p,iev330p-cd-2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,Iev330p,iev330p-cd-2023,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,Iev330p,iev330p-cd-2024,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,Iev330p,iev330p-cd-2025,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,Iev40,iev40--2020,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,Iev40,iev40--2021,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,Iev40,iev40--2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,Iev750v,iev750v--2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,Iev750v,iev750v-vip-2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,J2,j2-1-4-2012,0.0,0.0,108.0,5.0,Manual,Indefinido,Urbano
jac,J2,j2-1-4-2013,0.0,0.0,108.0,5.0,Manual,Indefinido,Urbano
jac,J2,j2-1-4-2014,0.0,0.0,108.0,5.0,Manual,Indefinido,Urbano
jac,J2,j2-1-4-2015,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
jac,J2,j2-1-4-2016,0.0,0.0,113.0,5.0,Manual,Indefinido,Urbano
jac,J3,j3-1-4-2011,0.0,0.0,108.0,5.0,Manual,Indefinido,Urbano
jac,J3,j3-1-4-2012,0.0,0.0,108.0,5.0,Manual,Indefinido,Urbano
jac,J3,j3-brasil-1-4-2012,0.0,0.0,108.0,5.0,Manual,Indefinido,Urbano
jac,J3,j3-1-4-2013,0.0,0.0,108.0,5.0,Manual,Indefinido,Urbano
jac,J3,j3-s-1-5-jet-flex-2013,0.0,0.0,127.0,5.0,Manual,Indefinido,Urbano
jac,J3,j3-1-4-2014,0.0,0.0,108.0,5.0,Manual,Indefinido,Urbano
jac,J3,j3-s-1-5-jet-flex-2014,0.0,0.0,127.0,5.0,Manual,Indefinido,Urbano
jac,J3,j3-1-4-2015,0.0,0.0,108.0,5.0,Manual,Indefinido,Urbano
jac,J3,j3-s-1-5-jet-flex-2015,0.0,0.0,127.0,5.0,Manual,Indefinido,Urbano
jac,J3 Turin,j3-turin-1-4-2011,0.0,0.0,108.0,5.0,Manual,Indefinido,Urbano
jac,J3 Turin,j3-turin-1-4-2012,0.0,0.0,108.0,5.0,Manual,Indefinido,Urbano
jac,J3 Turin,j3-turin-brasil-1-4-2012,0.0,0.0,108.0,5.0,Manual,Indefinido,Urbano
jac,J3 Turin,j3-turin-1-4-2013,0.0,0.0,108.0,5.0,Manual,Indefinido,Urbano
jac,J3 Turin,j3-turin-1-4-2014,0.0,0.0,108.0,5.0,Manual,Indefinido,Urbano
jac,J3 Turin,j3-turin-s-1-5-jet-flex-2014,0.0,0.0,127.0,5.0,Manual,Indefinido,Urbano
jac,J3 Turin,j3-turin-1-4-2015,0.0,0.0,108.0,5.0,Manual,Indefinido,Urbano
jac,J3 Turin,j3-turin-s-1-5-jet-flex-2015,0.0,0.0,127.0,5.0,Manual,Indefinido,Urbano
jac,J5,j5-1-5-2012,0.0,0.0,125.0,5.0,Manual,Indefinido,Urbano
jac,J5,j5-1-5-2013,0.0,0.0,125.0,5.0,Manual,Indefinido,Urbano
jac,J5,j5-1-5-2014,0.0,0.0,125.0,5.0,Manual,Indefinido,Urbano
jac,J5,j5-1-5-2015,0.0,0.0,125.0,5.0,Manual,Indefinido,Urbano
jac,J5,j5-1-5-2016,0.0,0.0,125.0,5.0,Manual,Indefinido,Urbano
jac,J6,j6-2-0-2011,0.0,0.0,136.0,5.0,Manual,Indefinido,Urbano
jac,J6,j6-diamond-2-0-2011,0.0,0.0,136.0,5.0,Manual,Indefinido,Urbano
jac,J6,j6-2-0-2012,0.0,0.0,136.0,5.0,Manual,Indefinido,Urbano
jac,J6,j6-diamond-2-0-2012,0.0,0.0,136.0,5.0,Manual,Indefinido,Urbano
jac,J6,j6-2-0-2013,0.0,0.0,136.0,5.0,Manual,Indefinido,Urbano
jac,J6,j6-diamond-2-0-2013,0.0,0.0,136.0,5.0,Manual,Indefinido,Urbano
jac,J6,j6-diamond-2-0-2014,0.0,0.0,136.0,5.0,Manual,Indefinido,Urbano
jac,J6,j6-diamond-2-0-2015,0.0,0.0,160.0,5.0,Manual,Indefinido,Urbano
jac,J6,j6-diamond-2-0-2016,0.0,0.0,160.0,5.0,Manual,Indefinido,Urbano
jac,T40,t40-1-5-2018,0.0,0.0,127.0,5.0,Manual,Indefinido,Urbano
jac,T40,t40-1-5-2019,0.0,0.0,127.0,5.0,Manual,Indefinido,Urbano
jac,T40,t40-1-6-at-2019,0.0,0.0,138.0,5.0,Auto,Indefinido,Urbano
jac,T40,t40-1-5-2020,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
jac,T40,t40-1-6-at-2020,0.0,0.0,138.0,5.0,Auto,Indefinido,Urbano
jac,T40,t40-1-5-2021,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
jac,T40,t40-1-6-at-2021,0.0,0.0,138.0,5.0,Auto,Indefinido,Urbano
jac,T40,t40-plus-1-5-2022,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
jac,T40,t40-plus-1-6-at-2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,T5,t5-1-5-2015,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
jac,T5,t5-1-5-2016,0.0,0.0,127.0,5.0,Manual,Indefinido,Urbano
jac,T5,t5-1-5-2017,0.0,0.0,127.0,5.0,Manual,Indefinido,Urbano
jac,T5,t5-1-5-at-2017,0.0,0.0,127.0,5.0,Auto,Indefinido,Urbano
jac,T5,t5-1-5-2018,0.0,0.0,127.0,5.0,Manual,Indefinido,Urbano
jac,T5,t5-1-5-at-2018,0.0,0.0,127.0,5.0,Auto,Indefinido,Urbano
jac,T5,t5-1-5-at-2019,0.0,0.0,127.0,5.0,Auto,Indefinido,Urbano
jac,T50,t50-1-6-at-2017,0.0,0.0,138.0,5.0,Auto,Indefinido,Urbano
jac,T50,t50-1-6-at-2019,0.0,0.0,138.0,5.0,Auto,Indefinido,Urbano
jac,T50,t50-1-6-at-2019-gasolina,0.0,0.0,138.0,5.0,Auto,Indefinido,Urbano
jac,T50,t50-1-6-at-2020,0.0,0.0,138.0,5.0,Auto,Indefinido,Urbano
jac,T50,t50-1-6-at-2021,0.0,0.0,138.0,5.0,Auto,Indefinido,Urbano
jac,T50,t50-1-6-at-2021-gasolina,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,T50,t50-plus-1-6-at-2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,T6,t6-2-0-2014,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
jac,T6,t6-2-0-2015,0.0,0.0,160.0,5.0,Manual,Indefinido,Urbano
jac,T6,t6-2-0-2016,0.0,0.0,160.0,5.0,Manual,Indefinido,Urbano
jac,T60,t60-1-5-turbo-2020,0.0,0.0,168.0,5.0,Auto,Indefinido,Urbano
jac,T60,t60-1-5-turbo-2020-gasolina,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,T60,t60-1-5-turbo-2021,0.0,0.0,168.0,5.0,Auto,Indefinido,Urbano
jac,T60,t60-1-5-turbo-2021-gasolina,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,T60,t60-1-5-turbo-2022,0.0,0.0,0.0,5.0,Auto,Indefinido,Urbano
jac,T60,t60-plus-1-5-turbo-2023,0.0,0.0,168.0,5.0,Auto,Indefinido,Urbano
jac,T8,t8-2-0-turbo-2013,0.0,0.0,175.0,5.0,Manual,Indefinido,Urbano
jac,T8,t8-2-0-turbo-2014,0.0,0.0,175.0,5.0,Manual,Indefinido,Urbano
jac,T8,t8-2-0-turbo-2017,0.0,0.0,175.0,5.0,Manual,Indefinido,Urbano
jac,T8,t8-2-0-turbo-2018,0.0,0.0,175.0,5.0,Manual,Indefinido,Urbano
jac,T80,t80-2-0-turbo-2018,0.0,0.0,210.0,5.0,Auto,Indefinido,Urbano
jac,T80,t80-2-0-turbo-2019,0.0,0.0,210.0,5.0,Auto,Indefinido,Urbano
jac,T80,t80-2-0-turbo-2020,0.0,0.0,210.0,5.0,Auto,Indefinido,Urbano
jac,V260,v260-1-9-2018,0.0,0.0,103.0,5.0,Manual,Indefinido,Urbano
jac,V260,v260-1-9-2018-diesel,0.0,0.0,103.0,5.0,Manual,Indefinido,Urbano
jac,V260,v260-1-9-2019,0.0,0.0,103.0,5.0,Manual,Indefinido,Urbano
jac,V260,v260-1-9-2020,0.0,0.0,103.0,5.0,Manual,Indefinido,Urbano
jac,V260,v260-1-9-2021,0.0,0.0,103.0,5.0,Manual,Indefinido,Urbano
jac,V260,v260-1-9-2022,0.0,0.0,0.0,5.0,Manual,Indefinido,Urbano
